state_name,geoid,name,report_date,last_update,confirmed,confirmed_rate,deaths,mortality_rate,case_fatality_rate,recovered
Illinois,17167,Sangamon,2020-03-22,2020-03-22T23:45:00Z,4,0.020236667830275067,1,0.005059166957568767,25,0
Illinois,17169,Schuyler,2020-03-22,2020-03-22T23:45:00Z,0,0,0,0,NaN,0
Illinois,17171,Scott,2020-03-22,2020-03-22T23:45:00Z,0,0,0,0,NaN,0
Illinois,17173,Shelby,2020-03-22,2020-03-22T23:45:00Z,0,0,0,0,NaN,0
Illinois,17175,Stark,2020-03-22,2020-03-22T23:45:00Z,0,0,0,0,NaN,0
Illinois,17177,Stephenson,2020-03-22,2020-03-22T23:45:00Z,1,0.022010432945216034,0,0,0,0
Illinois,17179,Tazewell,2020-03-22,2020-03-22T23:45:00Z,0,0,0,0,NaN,0
Illinois,17181,Union,2020-03-22,2020-03-22T23:45:00Z,0,0,0,0,NaN,0
Illinois,17183,Vermilion,2020-03-22,2020-03-22T23:45:00Z,0,0,0,0,NaN,0
Illinois,17185,Wabash,2020-03-22,2020-03-22T23:45:00Z,0,0,0,0,NaN,0
Illinois,17187,Warren,2020-03-22,2020-03-22T23:45:00Z,0,0,0,0,NaN,0
Illinois,17189,Washington,2020-03-22,2020-03-22T23:45:00Z,1,0.07064641469445426,0,0,0,0
Illinois,17191,Wayne,2020-03-22,2020-03-22T23:45:00Z,0,0,0,0,NaN,0
Illinois,17193,White,2020-03-22,2020-03-22T23:45:00Z,0,0,0,0,NaN,0
Illinois,17195,Whiteside,2020-03-22,2020-03-22T23:45:00Z,1,0.017731754025108164,0,0,0,0
Illinois,17197,Will,2020-03-22,2020-03-22T23:45:00Z,21,0.03049236456671076,1,0.00145201736031956,4.761904761904762,0
Illinois,17199,Williamson,2020-03-22,2020-03-22T23:45:00Z,1,0.014859061798838022,0,0,0,0
Illinois,17201,Winnebago,2020-03-22,2020-03-22T23:45:00Z,4,0.013977510186110549,0,0,0,0
Illinois,17203,Woodford,2020-03-22,2020-03-22T23:45:00Z,2,0.05152381688435479,0,0,0,0
Missouri,29001,Adair,2020-03-22,2020-03-22T23:45:00Z,1,0.03948667324777888,0,0,0,0
Missouri,29003,Andrew,2020-03-22,2020-03-22T23:45:00Z,0,0,0,0,NaN,0
Missouri,29005,Atchison,2020-03-22,2020-03-22T23:45:00Z,0,0,0,0,NaN,0
Missouri,29007,Audrain,2020-03-22,2020-03-22T23:45:00Z,0,0,0,0,NaN,0
Missouri,29009,Barry,2020-03-22,2020-03-22T23:45:00Z,0,0,0,0,NaN,0
Missouri,29011,Barton,2020-03-22,2020-03-22T23:45:00Z,0,0,0,0,NaN,0
Missouri,29013,Bates,2020-03-22,2020-03-22T23:45:00Z,1,0.061072431904238424,0,0,0,0
Missouri,29015,Benton,2020-03-22,2020-03-22T23:45:00Z,0,0,0,0,NaN,0
Missouri,29017,Bollinger,2020-03-22,2020-03-22T23:45:00Z,0,0,0,0,NaN,0
Missouri,29019,Boone,2020-03-22,2020-03-22T23:45:00Z,15,0.08497861371554825,1,0.005665240914369884,6.666666666666667,0
Missouri,29021,Buchanan,2020-03-22,2020-03-22T23:45:00Z,0,0,0,0,NaN,0
Missouri,29023,Butler,2020-03-22,2020-03-22T23:45:00Z,0,0,0,0,NaN,0
Missouri,29025,Caldwell,2020-03-22,2020-03-22T23:45:00Z,0,0,0,0,NaN,0
