"Provider.State","total.beds","total.beds.occupied","total.staff.infected","total.residents.infected","total.staff.deaths","total.residents.suspected","total.confirmed.residents.admitted","rate.staff.beds","rate.staff.residents","rate.resident.beds","rate.resident.beds.occupied","rate.resident.suspected.beds.occupied","rate.staff.deaths","rate.staff.deaths.occupied","total.transmission","rate.transmission","pct.increase.transmission"
"KY",26361,20611,2524,3239,10,1419,1224,95.7475057850613,77.9252855819697,122.870907780433,157.14909514337,68.846732327398,0.379348279655552,0.485177817670176,2015,7.64386783505937,164.624183006536
"LA",33339,22022,6113,7818,31,1335,2420,183.35882899907,78.1913532872858,234.500134977054,355.0086277359,60.6211969848333,0.929841926872432,1.40768322586504,5398,16.1912474879271,223.057851239669
"MA",42577,30529,6471,10556,26,4242,4295,151.983465251192,61.3016294050777,247.927284684219,345.76959612172,138.949850961381,0.610658336660638,0.851649251531331,6261,14.7051224839702,145.774155995343
"MD",27223,20269,3844,5486,29,1768,2181,141.204128861624,70.0692672256653,201.520772875877,270.659628003355,87.2267995461049,1.06527568600081,1.43075632739652,3305,12.1404694559747,151.535992663916
"ME",6576,5489,209,285,0,621,61,31.7822384428224,73.3333333333333,43.3394160583942,51.9220258699217,113.135361632356,0,0,224,3.40632603406326,367.213114754098
"MI",39940,31679,5027,4611,39,2816,3234,125.86379569354,109.021904142268,115.448172258388,145.553836926671,88.8916948135989,0.976464697045568,1.23109946652356,1377,3.44767150726089,42.5788497217069
"MN",27427,21274,2805,2559,13,2263,1082,102.271484303788,109.613130128957,93.3022204397127,120.287675096362,106.37397762527,0.47398548875196,0.611074551095234,1477,5.3852043606665,136.506469500924
"MO",54223,34319,4720,6416,14,2644,1296,87.0479316895045,73.5660847880299,118.326171550818,186.951834260905,77.0418718494129,0.258193017723106,0.407937294210204,5120,9.44248750530218,395.061728395062
"MS",17493,13445,3594,4843,30,2499,751,205.453610015435,74.210200289077,276.85359858229,360.208255857196,185.868352547415,1.7149717029669,2.23131275567125,4092,23.3922140284685,544.873501997337
"MT",5734,3524,130,88,2,198,89,22.6717823508894,147.727272727273,15.3470526682944,24.9716231555051,56.1861520998865,0.348796651552145,0.567536889897843,-1,-0.0174398325776073,-1.12359550561798
"NC",44090,31877,4785,6523,25,3405,2006,108.528010886822,73.3558178752108,147.947380358358,204.630297706811,106.816827179471,0.567022000453618,0.784264516736205,4517,10.244953504196,225.174476570289
"ND",5877,4837,1063,565,3,267,98,180.874595882253,188.141592920354,96.1374851114514,116.807938805044,55.1995038246847,0.510464522715671,0.620219144097581,467,7.94623107027395,476.530612244898
"NE",14604,9935,979,891,2,953,343,67.0364283757875,109.876543209877,61.0106820049302,89.6829391041772,95.9235027679919,0.136948781155848,0.201308505284348,548,3.75239660367023,159.766763848396
"NH",7331,5779,561,975,2,918,209,76.5243486563907,57.5384615384615,132.996862638112,168.714310434331,158.851012285863,0.272814077206384,0.346080636788372,766,10.4487791570045,366.507177033493
"NJ",51402,34335,7801,12946,109,4046,6240,151.764522781215,60.2579947474123,251.857904361698,377.049657783603,117.838939857288,2.12054005680713,3.17460317460317,6706,13.0461849733473,107.467948717949
