Date,county,cases
2020-05-19T00:00:00Z,Cass,0
2020-05-20T00:00:00Z,Clay,225
2020-05-20T00:00:00Z,Jackson,643
2020-05-20T00:00:00Z,Platte,49
2020-05-20T00:00:00Z,Cass,0
2020-05-21T00:00:00Z,Clay,234
2020-05-21T00:00:00Z,Jackson,654
2020-05-21T00:00:00Z,Platte,51
2020-05-21T00:00:00Z,Cass,0
2020-05-22T00:00:00Z,Clay,243
2020-05-22T00:00:00Z,Jackson,666
2020-05-22T00:00:00Z,Platte,53
2020-05-22T00:00:00Z,Cass,0
2020-05-23T00:00:00Z,Clay,NA
2020-05-23T00:00:00Z,Jackson,NA
2020-05-23T00:00:00Z,Platte,NA
2020-05-23T00:00:00Z,Cass,NA
2020-05-24T00:00:00Z,Clay,NA
2020-05-24T00:00:00Z,Jackson,NA
2020-05-24T00:00:00Z,Platte,NA
2020-05-24T00:00:00Z,Cass,NA
2020-05-25T00:00:00Z,Clay,NA
2020-05-25T00:00:00Z,Jackson,NA
2020-05-25T00:00:00Z,Platte,NA
2020-05-25T00:00:00Z,Cass,NA
2020-05-26T00:00:00Z,Clay,255
2020-05-26T00:00:00Z,Jackson,701
2020-05-26T00:00:00Z,Platte,55
2020-05-26T00:00:00Z,Cass,0
2020-05-27T00:00:00Z,Clay,267
2020-05-27T00:00:00Z,Jackson,724
2020-05-27T00:00:00Z,Platte,59
2020-05-27T00:00:00Z,Cass,0
2020-05-28T00:00:00Z,Clay,267
2020-05-28T00:00:00Z,Jackson,740
2020-05-28T00:00:00Z,Platte,64
2020-05-28T00:00:00Z,Cass,0
2020-05-29T00:00:00Z,Clay,274
2020-05-29T00:00:00Z,Jackson,754
2020-05-29T00:00:00Z,Platte,68
2020-05-29T00:00:00Z,Cass,0
2020-05-30T00:00:00Z,Clay,NA
2020-05-30T00:00:00Z,Jackson,NA
2020-05-30T00:00:00Z,Platte,NA
2020-05-30T00:00:00Z,Cass,NA
2020-05-31T00:00:00Z,Clay,NA
2020-05-31T00:00:00Z,Jackson,NA
2020-05-31T00:00:00Z,Platte,NA
2020-05-31T00:00:00Z,Cass,NA
2020-06-01T00:00:00Z,Clay,281
2020-06-01T00:00:00Z,Jackson,783
2020-06-01T00:00:00Z,Platte,69
2020-06-01T00:00:00Z,Cass,0
2020-06-02T00:00:00Z,Clay,296
2020-06-02T00:00:00Z,Jackson,813
2020-06-02T00:00:00Z,Platte,74
2020-06-02T00:00:00Z,Cass,0
2020-06-03T00:00:00Z,Clay,300
2020-06-03T00:00:00Z,Jackson,862
2020-06-03T00:00:00Z,Platte,76
2020-06-03T00:00:00Z,Cass,0
2020-06-04T00:00:00Z,Clay,305
2020-06-04T00:00:00Z,Jackson,894
2020-06-04T00:00:00Z,Platte,76
2020-06-04T00:00:00Z,Cass,0
2020-06-05T00:00:00Z,Clay,307
2020-06-05T00:00:00Z,Jackson,938
2020-06-05T00:00:00Z,Platte,76
2020-06-05T00:00:00Z,Cass,0
2020-06-06T00:00:00Z,Clay,NA
2020-06-06T00:00:00Z,Jackson,NA
2020-06-06T00:00:00Z,Platte,NA
2020-06-06T00:00:00Z,Cass,NA
2020-06-07T00:00:00Z,Clay,NA
2020-06-07T00:00:00Z,Jackson,NA
2020-06-07T00:00:00Z,Platte,NA
2020-06-07T00:00:00Z,Cass,NA
2020-06-08T00:00:00Z,Clay,312
2020-06-08T00:00:00Z,Jackson,1004
2020-06-08T00:00:00Z,Platte,78
2020-06-08T00:00:00Z,Cass,0
2020-06-09T00:00:00Z,Clay,313
2020-06-09T00:00:00Z,Jackson,1031
2020-06-09T00:00:00Z,Platte,78
2020-06-09T00:00:00Z,Cass,0
2020-06-10T00:00:00Z,Clay,315
2020-06-10T00:00:00Z,Jackson,1078
2020-06-10T00:00:00Z,Platte,78
2020-06-10T00:00:00Z,Cass,0
2020-06-11T00:00:00Z,Clay,329
2020-06-11T00:00:00Z,Jackson,1113
2020-06-11T00:00:00Z,Platte,83
2020-06-11T00:00:00Z,Cass,0
2020-06-12T00:00:00Z,Clay,349
2020-06-12T00:00:00Z,Jackson,1145
2020-06-12T00:00:00Z,Platte,87
2020-06-12T00:00:00Z,Cass,0
2020-06-13T00:00:00Z,Clay,NA
2020-06-13T00:00:00Z,Jackson,NA
2020-06-13T00:00:00Z,Platte,NA
2020-06-13T00:00:00Z,Cass,NA
2020-06-14T00:00:00Z,Clay,NA
2020-06-14T00:00:00Z,Jackson,NA
2020-06-14T00:00:00Z,Platte,NA
2020-06-14T00:00:00Z,Cass,NA
2020-06-15T00:00:00Z,Clay,358
2020-06-15T00:00:00Z,Jackson,1157
2020-06-15T00:00:00Z,Platte,91
2020-06-15T00:00:00Z,Cass,0
2020-06-16T00:00:00Z,Clay,369
2020-06-16T00:00:00Z,Jackson,1188
2020-06-16T00:00:00Z,Platte,94
2020-06-16T00:00:00Z,Cass,0
2020-06-17T00:00:00Z,Clay,376
2020-06-17T00:00:00Z,Jackson,1226
2020-06-17T00:00:00Z,Platte,96
2020-06-17T00:00:00Z,Cass,0
