report_date,geoid,county,state,cases
2020-06-03,29037,Cass,Missouri,0
2020-06-04,29047,Clay,Missouri,305
2020-06-04,29095,Jackson,Missouri,894
2020-06-04,29165,Platte,Missouri,76
2020-06-04,29037,Cass,Missouri,0
2020-06-05,29047,Clay,Missouri,307
2020-06-05,29095,Jackson,Missouri,938
2020-06-05,29165,Platte,Missouri,76
2020-06-05,29037,Cass,Missouri,0
2020-06-08,29047,Clay,Missouri,312
2020-06-08,29095,Jackson,Missouri,1004
2020-06-08,29165,Platte,Missouri,78
2020-06-08,29037,Cass,Missouri,0
2020-06-09,29047,Clay,Missouri,313
2020-06-09,29095,Jackson,Missouri,1031
2020-06-09,29165,Platte,Missouri,78
2020-06-09,29037,Cass,Missouri,0
2020-06-10,29047,Clay,Missouri,315
2020-06-10,29095,Jackson,Missouri,1078
2020-06-10,29165,Platte,Missouri,78
2020-06-10,29037,Cass,Missouri,0
2020-06-11,29047,Clay,Missouri,329
2020-06-11,29095,Jackson,Missouri,1113
2020-06-11,29165,Platte,Missouri,83
2020-06-11,29037,Cass,Missouri,0
2020-06-12,29047,Clay,Missouri,349
2020-06-12,29095,Jackson,Missouri,1145
2020-06-12,29165,Platte,Missouri,87
2020-06-12,29037,Cass,Missouri,0
2020-06-15,29047,Clay,Missouri,358
2020-06-15,29095,Jackson,Missouri,1157
2020-06-15,29165,Platte,Missouri,91
2020-06-15,29037,Cass,Missouri,0
2020-06-16,29047,Clay,Missouri,369
2020-06-16,29095,Jackson,Missouri,1188
2020-06-16,29165,Platte,Missouri,94
2020-06-16,29037,Cass,Missouri,0
2020-06-17,29047,Clay,Missouri,376
2020-06-17,29095,Jackson,Missouri,1226
2020-06-17,29165,Platte,Missouri,96
2020-06-17,29037,Cass,Missouri,0
2020-06-18,29047,Clay,Missouri,376
2020-06-18,29095,Jackson,Missouri,1228
2020-06-18,29165,Platte,Missouri,86
2020-06-18,29037,Cass,Missouri,0
2020-06-19,29047,Clay,Missouri,380
2020-06-19,29095,Jackson,Missouri,1250
2020-06-19,29165,Platte,Missouri,100
2020-06-19,29037,Cass,Missouri,0
2020-06-22,29047,Clay,Missouri,395
2020-06-22,29095,Jackson,Missouri,1289
2020-06-22,29165,Platte,Missouri,105
2020-06-22,29037,Cass,Missouri,0
2020-06-23,29047,Clay,Missouri,406
2020-06-23,29095,Jackson,Missouri,1318
2020-06-23,29165,Platte,Missouri,107
2020-06-23,29037,Cass,Missouri,0
2020-06-24,29047,Clay,Missouri,417
2020-06-24,29095,Jackson,Missouri,1351
2020-06-24,29165,Platte,Missouri,113
2020-06-24,29037,Cass,Missouri,0
2020-06-25,29047,Clay,Missouri,422
2020-06-25,29095,Jackson,Missouri,1371
2020-06-25,29165,Platte,Missouri,113
2020-06-25,29037,Cass,Missouri,0
2020-06-26,29047,Clay,Missouri,422
2020-06-26,29095,Jackson,Missouri,1371
2020-06-26,29165,Platte,Missouri,113
2020-06-26,29037,Cass,Missouri,0
2020-06-30,29047,Clay,Missouri,448
2020-06-30,29095,Jackson,Missouri,1472
2020-06-30,29165,Platte,Missouri,119
2020-06-30,29037,Cass,Missouri,0
2020-07-01,29047,Clay,Missouri,462
2020-07-01,29095,Jackson,Missouri,1553
2020-07-01,29165,Platte,Missouri,121
2020-07-01,29037,Cass,Missouri,0
2020-07-02,29047,Clay,Missouri,477
2020-07-02,29095,Jackson,Missouri,1582
2020-07-02,29165,Platte,Missouri,125
2020-07-02,29037,Cass,Missouri,0
2020-07-06,29047,Clay,Missouri,490
2020-07-06,29095,Jackson,Missouri,1515
2020-07-06,29165,Platte,Missouri,128
2020-07-06,29037,Cass,Missouri,0
2020-07-07,29047,Clay,Missouri,501
2020-07-07,29095,Jackson,Missouri,1671
2020-07-07,29165,Platte,Missouri,132
2020-07-07,29037,Cass,Missouri,0
2020-07-08,29047,Clay,Missouri,512
2020-07-08,29095,Jackson,Missouri,1721
2020-07-08,29165,Platte,Missouri,132
2020-07-08,29037,Cass,Missouri,0
2020-07-10,29047,Clay,Missouri,517
2020-07-10,29095,Jackson,Missouri,1796
2020-07-10,29165,Platte,Missouri,136
2020-07-10,29037,Cass,Missouri,0
2020-07-11,29047,Clay,Missouri,527
2020-07-11,29095,Jackson,Missouri,1865
2020-07-11,29165,Platte,Missouri,141
2020-07-11,29037,Cass,Missouri,0
2020-07-14,29047,Clay,Missouri,540
2020-07-14,29095,Jackson,Missouri,1922
2020-07-14,29165,Platte,Missouri,142
2020-07-14,29037,Cass,Missouri,0
2020-07-15,29047,Clay,Missouri,556
2020-07-15,29095,Jackson,Missouri,1984
2020-07-15,29165,Platte,Missouri,151
2020-07-15,29037,Cass,Missouri,0
2020-07-16,29047,Clay,Missouri,569
2020-07-16,29095,Jackson,Missouri,2048
2020-07-16,29165,Platte,Missouri,155
2020-07-16,29037,Cass,Missouri,0
2020-07-17,29047,Clay,Missouri,581
2020-07-17,29095,Jackson,Missouri,2131
2020-07-17,29165,Platte,Missouri,161
2020-07-17,29037,Cass,Missouri,0
