report_date,geoid,county,state,last_update,confirmed,confirmed_rate,new_confirmed,confirmed_avg,deaths,mortality_rate,new_deaths,deaths_avg,case_fatality_rate
2020-01-24,29199,Scotland,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-24,29201,Scott,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-24,29203,Shannon,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-24,29205,Shelby,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-24,29207,Stoddard,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-24,29209,Stone,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-24,29211,Sullivan,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-24,29213,Taney,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-24,29215,Texas,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-24,29217,Vernon,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-24,29219,Warren,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-24,29221,Washington,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-24,29223,Wayne,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-24,29225,Webster,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-24,29227,Worth,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-24,29229,Wright,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-24,29510,St. Louis City,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-24,29511,Kansas City,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-25,29001,Adair,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-25,29003,Andrew,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-25,29005,Atchison,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-25,29007,Audrain,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-25,29009,Barry,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-25,29011,Barton,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-25,29013,Bates,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-25,29015,Benton,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-25,29017,Bollinger,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-25,29019,Boone,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-25,29021,Buchanan,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-25,29023,Butler,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-25,29025,Caldwell,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-25,29027,Callaway,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-25,29029,Camden,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-25,29031,Cape Girardeau,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-25,29033,Carroll,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-25,29035,Carter,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-25,29037,Cass,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-25,29039,Cedar,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-25,29041,Chariton,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-25,29043,Christian,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-25,29045,Clark,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-25,29047,Clay,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-25,29049,Clinton,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-25,29051,Cole,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-25,29053,Cooper,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-25,29055,Crawford,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-25,29057,Dade,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-25,29059,Dallas,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-25,29061,Daviess,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-25,29063,DeKalb,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-25,29065,Dent,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-25,29067,Douglas,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-25,29069,Dunklin,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-25,29071,Franklin,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-25,29073,Gasconade,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-25,29075,Gentry,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-25,29077,Greene,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-25,29079,Grundy,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-25,29081,Harrison,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-25,29083,Henry,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-25,29085,Hickory,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-25,29087,Holt,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-25,29089,Howard,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-25,29091,Howell,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-25,29093,Iron,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-25,29095,Jackson,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-25,29097,Jasper,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-25,29099,Jefferson,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-25,29101,Johnson,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-25,29103,Knox,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-25,29105,Laclede,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-25,29107,Lafayette,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-25,29109,Lawrence,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-25,29111,Lewis,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-25,29113,Lincoln,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-25,29115,Linn,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-25,29117,Livingston,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-25,29119,McDonald,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-25,29121,Macon,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-25,29123,Madison,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-25,29125,Maries,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-25,29127,Marion,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-25,29129,Mercer,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-25,29131,Miller,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-25,29133,Mississippi,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-25,29135,Moniteau,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-25,29137,Monroe,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-25,29139,Montgomery,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-25,29141,Morgan,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-25,29143,New Madrid,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-25,29145,Newton,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-25,29147,Nodaway,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-25,29149,Oregon,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-25,29151,Osage,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-25,29153,Ozark,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-25,29155,Pemiscot,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-25,29157,Perry,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-25,29159,Pettis,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-25,29161,Phelps,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-25,29163,Pike,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-25,29165,Platte,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-25,29167,Polk,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-25,29169,Pulaski,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-25,29171,Putnam,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-25,29173,Ralls,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-25,29175,Randolph,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-25,29177,Ray,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-25,29179,Reynolds,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-25,29181,Ripley,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-25,29183,St. Charles,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-25,29185,St. Clair,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-25,29186,Ste. Genevieve,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-25,29187,St. Francois,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-25,29189,St. Louis,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-25,29195,Saline,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-25,29197,Schuyler,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-25,29199,Scotland,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-25,29201,Scott,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-25,29203,Shannon,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-25,29205,Shelby,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-25,29207,Stoddard,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-25,29209,Stone,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-25,29211,Sullivan,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-25,29213,Taney,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-25,29215,Texas,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-25,29217,Vernon,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-25,29219,Warren,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-25,29221,Washington,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-25,29223,Wayne,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-25,29225,Webster,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-25,29227,Worth,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-25,29229,Wright,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-25,29510,St. Louis City,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-25,29511,Kansas City,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-26,29001,Adair,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-26,29003,Andrew,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-26,29005,Atchison,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-26,29007,Audrain,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-26,29009,Barry,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-26,29011,Barton,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-26,29013,Bates,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-26,29015,Benton,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-26,29017,Bollinger,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-26,29019,Boone,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-26,29021,Buchanan,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-26,29023,Butler,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-26,29025,Caldwell,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-26,29027,Callaway,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-26,29029,Camden,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-26,29031,Cape Girardeau,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-26,29033,Carroll,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-26,29035,Carter,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-26,29037,Cass,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-26,29039,Cedar,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-26,29041,Chariton,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-26,29043,Christian,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-26,29045,Clark,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-26,29047,Clay,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-26,29049,Clinton,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-26,29051,Cole,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-26,29053,Cooper,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
2020-01-26,29055,Crawford,Missouri,2020-04-12 00:00:01,0,0,0,0,0,0,0,0,NaN
